		任务类型	中文	印尼翻译	备注													
		1	用xx以上炮倍累积捕获BOSS鱼xx/xx条	Gunakan turret ≥xx untuk tangkap BOSS sebanyak xx ekor				炮倍人数	七天总体消耗	平均消耗	人均七日总消耗							
		1	用xx以上炮倍累积捕获xx/xx条鱼	Gunakan turret ≥xx untuk tangkap ikan sebanyak xx ekor			20k	222,455	50,185,844,252,000	225,599,983.15	1,579,199,882.06							
		2	累积打鱼消耗xx/xx金额	Gunakan turret ≥xx total konsumsi tembak ikan: xx/xx			50k	179,877	53,300,303,912,500	296,315,281.62	2,074,206,971.36							
		3 个人奖池	参与xx/xx次Prizepool Gratis活动	Ikut event Prizepool Gratis xx/xx kali			200k	41,756	84,668,324,910,000.00	2,027,692,425.28	14,193,846,976.96							
		4 离线收益	领取xx/xx次Koin Gratis奖励	 Klaim hadiah Koin Gratis xx/xx kali			500k	32,816	262,240,135,450,000.00	7,991,227,920.83	55,938,595,445.82							
		5 海神三叉戟	参与xx/xx次Permainan Trisula活动	Ikut event Permainan Trisula xx/xx kali			1M	12,869	231,357,251,850,000.00	17,977,873,327.38	125,845,113,291.63							
		6 比赛	参与xx/xx次比赛	Ikut turnamen sebanyak xx/xx kali			10M	1,672	226,894,821,500,000.00	135,702,644,437.80	949,918,511,064.59							
		7	累积使用xx个道具	Gunakan item sebanyak xx kali														
		8	累积登陆第xx天	Login total xx hari														
		9	累积在线xx/xx分钟	Online total xx/xx menit														
		10单局结算	打鱼分数上榜一次Ronde Emas的Peringkat karier	Skor fishing memasuki ranking Ronde Emas (peringkat karier).														
		11	更换一次炮台/翅膀	Ganti turret/sayap 1x														
		12	购买xx次礼包/金币	Beli paket/koin xx kali														
		13 神秘鱼市	参与xx/xx次Misterius market活动	Ikut event Misterius Market xx/xx kali														
																		
																		
S1（系统赠送金额+无价值道具卡+加鱼分金额奖励）																		
炮倍：	20,000		炮倍：	20,000		免伤		0.0010										
全部鱼的平均鱼分	50		全部特殊鱼的平均鱼分	250		流水返还比例（流水除以返还）		1,000										
价值系数	0.004		价值系数	0.010														
周常价值	4,000		特殊鱼价值	50,000														
周常任务增加鱼分	0.20		特殊鱼加的鱼分	2.50														
																		
																		
任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励										
1	累积登陆第xx/xx天	5	4	20	1.0	4.0												
2	累积二人捕鱼在线xx/30分钟	5	2	10	20.0	40.0												
3	参与xx/1次Prizepool Gratis活动	5	2	10	1.0	2.0												
4	累积使用xx/3个道具	5	2	10	3.0	6.0												
5	用20k炮倍累积捕获xx/25条鱼	20	30	600	25.0	750.0	100,000	3,000,000										
6	用20k以上炮倍累积消耗xx/100M金额	20	50	1,000	100,000,000	5,000,000,000	100,000	5,000,000										
7	用20k炮倍累积捕获xx/1条BOSS鱼	10	40	400	1.0	40.0	50,000	2,000,000										
																		
第一期免费活跃度	50			单个流水任务完成所需子弹：	5000	完成全部流水任务所需子弹	250000											
第一期付费活跃度	2,000			20k炮倍单日平均流水	225,599,983.15	七天流水	1,579,199,882.06											
				活跃度数量	315.8399764	任务个数	15.79199882											
		84																
				普通鱼平均鱼分	boss鱼平均鱼分													
目前在线时间	720	12		70	250		普通鱼活跃度数量	721.9199461	普通鱼任务数量	36.0959973								
人均在线时间	940	15.6666655	109.6666585	普通鱼	特殊鱼		boss鱼活跃度数量	631.6799528	boss鱼任务数量	63.16799528								
每秒发炮次数（开双倍）	12		捕鱼权重	0.8	0.2													
累积发炮数/天	11,280		每天捕鱼数量	128.9142761	9.0		总活跃度数量	1669.439875										
累积流水数/天	225,599,983	150,000,000																
七天累积流水	1,579,199,882		七天捕鱼总数	902.3999326	63.16799528													
			总捕鱼数	965.5679279														
																		
周活跃度补贴金额	4.5M	免费活跃度	50		付费活跃度	2,000			总活跃度	2,050								
																		
周活跃度	50	200	400	600	1,000	总价值												
周活跃度奖励	250k	750k	1001*2	1M	2M	/												
道具价值	250,000	750,000	1,000,000	1,000,000	2,000,000	5,000,000												
																		
刷新金币	200,000																	
																		
S1流水奖励	4,750,000		付费活跃度价值	5,000		总付费奖励		10,000,000			10,000,000							
S1补贴金额	250,000		1场用20k炮倍平均人数	222,455.00		1场平均补贴		55,613,750,000										
S1总奖励	5,000,000																	
礼包价格	5,000.00		币值	9,000		礼包金币总值		45,000,000		礼包额外金币	40,000,000							
礼包总奖励	1001青铜鱼雷*2 1170冰冻卡*5 1169召唤卡*5 1002白银鱼雷*1 天秤座炮台体验卡1天*1 金币*39000000		1,000,000	5,000,000		礼包金币数量		39,000,000										
																		
																		
S2（系统赠送金额+鱼分金额奖励）																		
炮倍：	50,000		炮倍：	50,000		免伤		0.0010										
全部鱼的平均鱼分	80		全部特殊鱼的平均鱼分	250		流水返还比例（流水除以返还）		1,000										
价值系数	0.002		价值系数	0.008														
周常价值	8,000		特殊鱼价值	100,000														
周常任务增加鱼分	0.16		特殊鱼加的鱼分	2.00														
																		
																		
任务序号	任务内容	活跃值	任务数量	全部活跃度	单次任务数量	数量	单次任务奖励	全部奖励										
1	累积登陆第xx/xx天	5	4	20	1.0	4.0												
